Freq,Impedance,Phase
1.50E+05,34.29,46.7
1.70E+05,36.5,43.11
2.00E+05,39.12,38.51
2.50E+05,42.18,32.48
3.00E+05,44.17,27.95
3.50E+05,45.52,24.45
4.00E+05,46.46,21.7
5.00E+05,47.65,17.66
6.00E+05,48.33,14.86
7.00E+05,48.76,12.81
8.00E+05,49.04,11.25
9.00E+05,49.24,10.03
1.00E+06,49.38,9.04
1.20E+06,49.57,7.56
1.50E+06,49.72,6.06
2.00E+06,49.84,4.55
2.50E+06,49.9,3.64
3.00E+06,49.93,3.04
4.00E+06,49.96,2.28
5.00E+06,49.98,1.82
7.00E+06,49.99,1.3
1.00E+07,49.99,0.91
1.50E+07,50,0.61
2.00E+07,50,0.46
3.00E+07,50,0.3